날짜,방송시간,상품코드,상품명
03.24,08:15,2248636705,수소젠 더 퍼스트 에센스 조윤주패키지
03.24,08:15,2248636712,수소젠 더 퍼스트 에센스 VIP패키지
03.24,08:15,2248636754,"수소젠 더 퍼스트 에센스 싱글패키지174,000원 최대 무3월 58,000원무료배송"
03.24,08:15,2213421379,딸고 조윤주pick 딸고 인텐시브 리덴시파잉 광밀도 세럼 기본구성
03.24,08:15,2247313884,딸고 [유통기한 임박특가]조윤주pick 딸고 인텐시브 리덴시파잉 광밀도 세럼 2통
03.24,08:15,2219379334,딸고 [유통기한 임박특가]조윤주pick 딸고 하이드레이팅 쿨링 젤크림 50ml  1개
03.24,08:15,2247313498,딸고 [유통기한 임박특가]조윤주pick 딸고 하이드레이팅 쿨링 젤크림 50ml  2개
03.24,08:15,2247314883,기노 [유통기한 임박특가] [GUINOT] 기노 고마쥐 비올로지끄 50ml 1통+ 3ml 1통
03.24,08:15,2247315267,기노 [유통기한 임박특가] [GUINOT] 기노 고마쥐 비올로지끄 50ml 2통+ 3ml 3통+ 홀로그파우치
03.24,08:15,2247315073,기노 [유통기한 임박특가] [GUINOT] 기노 고마쥐 비올로지끄 50ml 2통+ 3ml 3통+ 레드파우치
03.24,08:15,2248343017,마리꼬 엑스퍼트 페이스 스컬프터 세럼 1개+크림 2개 + 세럼휴대용 10개
03.24,08:15,2248343032,마리꼬 엑스퍼트 페이스 스컬프터 세럼 2개+크림 5개 + 세럼휴대용 30개
03.24,09:25,2248352722,에바큐브 26SS 레이스플리츠 5부 블라우스
03.24,09:25,2248355751,에바큐브 26SS 레이스플리츠 스칼럽스커트
03.24,09:25,2245525043,"에바큐브 26SS 크리스탈플리츠 투버튼 자켓369,000원 최대 무6월 61,500원무료배송"
03.24,09:25,2245526743,"에바큐브 26SS 크리스탈플리츠 시그니처 팬츠259,000원 최대 무3월 86,333원무료배송"
03.24,09:25,2245526873,"에바큐브 26SS 크리스탈플리츠 하프 팬츠219,000원 최대 무6월 36,500원무료배송"
03.24,09:25,2237879108,"에바큐브 크리스탈플리츠 트렌치 롱코트399,000원 최대 무6월 66,500원무료배송"
03.24,09:25,2237880193,"에바큐브 크리스탈플리츠 브이넥 원피스299,000원 최대 무6월 49,833원무료배송"
03.24,10:25,2238739502,클랍 [매니아패키지] 클랍 파워이펙트 피니싱 크림 3단지
03.24,10:25,2248730874,클랍 파워이펙트 피니싱 크림 50ml 1개
03.24,10:25,2238739518,"클랍 [VIP패키지] 클랍 파워이펙트 피니싱 크림 6단지359,000원 최대 무12월 29,916원무료배송"
03.24,11:35,2248638879,라칼로 [Lacalo] 라칼로 26SS 후드 롱 사파리재킷 1종
03.24,11:35,2236249180,라칼로 [Lacalo] 라칼로 튀르키예 코튼100 티셔츠 4종 (보트넥 2종 헨리넥 2종)
03.24,11:35,2248639083,"라칼로 [Lacalo] 라칼로 26SS 메쉬 니트 집업재킷79,900원 최대 무3월 26,633원무료배송"
03.24,11:35,2248639120,"라칼로 [Lacalo] 라칼로 26SS 배럴핏 데님 팬츠69,900원 최대 무3월 23,300원무료배송"
03.24,12:35,2248590520,코멕스 [방송에서만 구매가능] 코멕스 멀티쿡 글라스 밥용기 더블 세트 (14p)
03.24,12:35,2248589346,코멕스 멀티쿡 글라스 밥용기 1세트 (7p)
03.24,13:25,2245105187,흥국화재 (무)흥Good The 건강한 4565 종합보험
03.24,14:05,2231283055,디아루체 [론칭가 89900원]디아루체 크로쉐 레이어드 셋업 2종 (이너 + 베스트)
03.24,14:05,2229393267,디아루체 실크 블렌딩 코쿤핏 리오셀 데님
03.24,14:05,2232875581,"디아루체 폼폼 자카드 인견 니트 1종39,900원 무료배송"
03.24,14:05,2247868548,메시제이 [론칭가69900원] 메시제이 26SS FAUX 레더 재킷
03.24,14:05,2248763907,크레송 글리터 슬리브리스 니트탑 (4종)
03.24,14:05,2229259035,크레송 라이트 에어리 후드 자켓 1종
03.24,14:05,2236181131,"크레송 A 라인 스커트 + 벨트 (2종)49,900원 무료배송"
03.24,15:45,2248834645,LG전자 [무이자60개월] LG 퓨리케어 360 공기청정기 플러스 29형 (AS285DWWD) +사은품 필터(PFSAJC01) 2개
03.24,15:45,2248834792,LG전자 [무이자60개월] LG 퓨리케어 360 공기청정기 플러스 18형 (AS185DWWD) +사은품 필터(PFSAJC01)
03.24,15:45,2244336808,"LG전자 [상시주문] LG 뉴 오브제 스타일러 블랙틴트미러 [SC5GMR82A]2,620,000원 카카오(KB국민)"
03.24,16:35,2244179160,에스더포뮬러 여에스더 리포좀 글루타치온 다이렉트 울트라 9X 13박스(13개월) + 알부민 2박스
03.24,16:35,2230664959,에스더포뮬러 여에스더 리포좀 글루타치온 다이렉트 울트라 9X 6박스(6개월)
03.24,17:30,2245062863,안유성명장 가매 제주 금게장 세트 (900gx5통 총4.5kg)
03.24,17:30,2245062892,안유성명장 가매 제주 금게장 900g 1통
03.24,17:30,2239817699,"안유성명장 가매 일품 깐새우장 세트 (750gx5통 총100마리)59,900원 최대 무3월 19,966원무료배송"
03.24,17:30,2244551866,"안유성명장 가매 일품 백명란 세트 (120gx10팩)59,900원 최대 무3월 19,966원무료배송"
03.24,17:30,2237035826,"안유성명장 일품 복지리탕 세트 (650gx10팩)59,900원 최대 무3월 19,966원무료배송"
03.24,18:30,2244486170,AIA생명 (무)원스톱프리미엄암보험
03.24,19:30,2243493428,코우카키스 그릭요거트 5종 14팩 패키지(오리지널/무지방/딸기/복숭아/블루베리)
03.24,19:30,2248647150,헤리터 (더블) 헤리터 키친매트
03.24,19:30,2248647259,헤리터 (싱글) 헤리터 키친매트
03.24,19:30,2248928146,필립스 바리스티나 전자동 커피머신
03.24,19:30,2248197389,헤리터 수 테이블매트 L사이즈 4개
03.24,19:30,2248197355,헤리터 수 테이블매트 L사이즈 2개
03.24,19:30,2248197260,헤리터 수 테이블매트 M사이즈 4개
03.24,19:30,2248197115,헤리터 수 테이블매트 M사이즈 2개
03.24,19:30,2248197004,헤리터 수 디저트매트 4개
03.24,19:30,2248196902,헤리터 수 디저트매트 2개
03.24,19:30,2248196730,헤리터 수 코스터 4개
03.24,19:30,2248196583,헤리터 수 코스터 2개
03.24,19:30,2248199662,헤리터 준 글라스 260ml 2개
